comm_num,comm_name,pop_fixed
14,Albany Park,48396
57,Archer Heights,14196
34,Armour Square,13890
70,Ashburn,41098
71,Auburn Gresham,"44,878"
25,Austin,"96,557"
45,Avalon Park,"9,458"
21,Avondale,"36,257"
19,Belmont Cragin,"78,116"
72,Beverly,"20,027"
60,Bridgeport,"33,702"
58,Brighton Park,"45,053"
47,Burnside,"2,527"
48,Calumet Heights,"13,088"
44,Chatham,"31,710"
66,Chicago Lawn,"55,931"
64,Clearing,"24,473"
35,Douglas,"20,291"
17,Dunning,"43,147"
27,East Garfield Park,"19,992"
52,East Side,"21,724"
77,Edgewater,"56,296"
9,Edison Park,"11,525"
68,Englewood,"24,369"
12,Forest Glen,"19,596"
37,Fuller Park,"2,567"
63,Gage Park,"39,540"
56,Garfield Ridge,"35,439"
38,Grand Boulevard,"24,589"
69,Greater Grand Crossing,"31,471"
55,Hegewisch,"10,027"
20,Hermosa,"24,062"
23,Humboldt Park,"54,165"
41,Hyde Park,"29,456"
16,Irving Park,"51,940"
11,Jefferson Park,"26,216"
39,Kenwood,"19,116"
6,Lake View,"103,050"
7,Lincoln Park,"70,492"
4,Lincoln Square,"40,494"
22,Logan Square,"71,665"
31,Lower West Side,"33,751"
59,McKinley Park,"15,923"
18,Montclare,"14,401"
75,Morgan Park,"21,186"
74,Mount Greenwood,"18,628"
8,Near North Side,"105,481"
33,Near South Side,"28,795"
28,Near West Side,"67,881"
61,New City,"43,628"
5,North Center,"35,114"
29,North Lawndale,"34,794"
13,North Park,"17,559"
10,Norwood Park,"38,303"
36,Oakland,"6,799"
76,O'Hare,"13,418"
15,Portage Park,"63,020"
50,Pullman,"6,820"
54,Riverdale,"7,262"
1,Rogers Park,"55,628"
49,Roseland,"38,816"
46,South Chicago,"27,300"
51,South Deering,"14,105"
30,South Lawndale,"71,399"
43,South Shore,"53,971"
32,The Loop,"42,298"
3,Uptown,"57,182"
73,Washington Heights,"25,065"
40,Washington Park,"12,707"
62,West Elsdon,"18,394"
67,West Englewood,"29,647"
26,West Garfield Park,"17,433"
65,West Lawn,"33,662"
53,West Pullman,"26,104"
2,West Ridge,"77,122"
24,West Town,"87,781"
42,Woodlawn,"24,425"
